backend,qubits,leaf_depth,seed,time_s
ibm_brisbane_old,54,60,84,0.40446
ibm_brisbane_old,54,60,105,0.413841
ibm_brisbane_old,54,60,126,0.37645
ibm_brisbane_old,54,60,147,0.399164
ibm_brisbane_old,54,60,168,0.394228
ibm_brisbane_old,54,60,189,0.383873
ibm_brisbane_old,54,70,3,0.446781
ibm_brisbane_old,54,70,21,0.579032
ibm_brisbane_old,54,70,42,0.567491
ibm_brisbane_old,54,70,63,0.422265
ibm_brisbane_old,54,70,84,0.405845
ibm_brisbane_old,54,70,105,0.590802
ibm_brisbane_old,54,70,126,0.590098
ibm_brisbane_old,54,70,147,0.431974
ibm_brisbane_old,54,70,168,0.423163
ibm_brisbane_old,54,70,189,0.423119
ibm_brisbane_old,54,80,3,0.49166
ibm_brisbane_old,54,80,21,0.679019
ibm_brisbane_old,54,80,42,0.47375
ibm_brisbane_old,54,80,63,0.695858
ibm_brisbane_old,54,80,84,0.479293
ibm_brisbane_old,54,80,105,0.677078
ibm_brisbane_old,54,80,126,0.51516
ibm_brisbane_old,54,80,147,0.511223
ibm_brisbane_old,54,80,168,0.673423
ibm_brisbane_old,54,80,189,0.497764
ibm_brisbane_old,54,90,3,0.560561
ibm_brisbane_old,54,90,21,0.762943
ibm_brisbane_old,54,90,42,0.757399
ibm_brisbane_old,54,90,63,0.742152
ibm_brisbane_old,54,90,84,0.524838
ibm_brisbane_old,54,90,105,0.542318
ibm_brisbane_old,54,90,126,0.532629
ibm_brisbane_old,54,90,147,0.513278
ibm_brisbane_old,54,90,168,0.517751
ibm_brisbane_old,54,90,189,0.764383
ibm_brisbane_old,81,10,3,0.257746
ibm_brisbane_old,81,10,21,0.245367
ibm_brisbane_old,81,10,42,0.267482
ibm_brisbane_old,81,10,63,0.273712
ibm_brisbane_old,81,10,84,0.257716
ibm_brisbane_old,81,10,105,0.298332
ibm_brisbane_old,81,10,126,0.259936
ibm_brisbane_old,81,10,147,0.268045
ibm_brisbane_old,81,10,168,0.242586
ibm_brisbane_old,81,10,189,0.255988
ibm_brisbane_old,81,20,3,0.434026
ibm_brisbane_old,81,20,21,0.330107
ibm_brisbane_old,81,20,42,0.360171
ibm_brisbane_old,81,20,63,0.349936
ibm_brisbane_old,81,20,84,0.345738
ibm_brisbane_old,81,20,105,0.363284
ibm_brisbane_old,81,20,126,0.375648
ibm_brisbane_old,81,20,147,0.323574
ibm_brisbane_old,81,20,168,0.344825
ibm_brisbane_old,81,20,189,0.340194
ibm_brisbane_old,81,30,3,0.397312
ibm_brisbane_old,81,30,21,0.420576
ibm_brisbane_old,81,30,42,0.416434
ibm_brisbane_old,81,30,63,0.425529
ibm_brisbane_old,81,30,84,0.419312
ibm_brisbane_old,81,30,105,0.53404
ibm_brisbane_old,81,30,126,0.410717
ibm_brisbane_old,81,30,147,0.403628
ibm_brisbane_old,81,30,168,0.411385
ibm_brisbane_old,81,30,189,0.437073
ibm_brisbane_old,81,40,3,0.456306
ibm_brisbane_old,81,40,21,0.472318
ibm_brisbane_old,81,40,42,0.516526
ibm_brisbane_old,81,40,63,0.493748
ibm_brisbane_old,81,40,84,0.634403
ibm_brisbane_old,81,40,105,0.666605
ibm_brisbane_old,81,40,126,0.647517
ibm_brisbane_old,81,40,147,0.514441
ibm_brisbane_old,81,40,168,0.51531
ibm_brisbane_old,81,40,189,0.460683
ibm_brisbane_old,81,50,3,0.764171
ibm_brisbane_old,81,50,21,0.568529
ibm_brisbane_old,81,50,42,0.5681
ibm_brisbane_old,81,50,63,0.76822
ibm_brisbane_old,81,50,84,0.586006
ibm_brisbane_old,81,50,105,0.555082
ibm_brisbane_old,81,50,126,0.578321
ibm_brisbane_old,81,50,147,0.571334
ibm_brisbane_old,81,50,168,0.75289
ibm_brisbane_old,81,50,189,0.554075
ibm_brisbane_old,81,60,3,0.867498
ibm_brisbane_old,81,60,21,0.880071
ibm_brisbane_old,81,60,42,0.809013
ibm_brisbane_old,81,60,63,0.656003
ibm_brisbane_old,81,60,84,0.616014
ibm_brisbane_old,81,60,105,0.670807
ibm_brisbane_old,81,60,126,0.63071
ibm_brisbane_old,81,60,147,0.837931
ibm_brisbane_old,81,60,168,0.818297
ibm_brisbane_old,81,60,189,0.823946
ibm_brisbane_old,81,70,3,0.959871
ibm_brisbane_old,81,70,21,0.704592
ibm_brisbane_old,81,70,42,0.970288
ibm_brisbane_old,81,70,63,0.963741
ibm_brisbane_old,81,70,84,0.705865
ibm_brisbane_old,81,70,105,0.985974
ibm_brisbane_old,81,70,126,0.94623
ibm_brisbane_old,81,70,147,0.694895
ibm_brisbane_old,81,70,168,1.013737
ibm_brisbane_old,81,70,189,1.009722
ibm_brisbane_old,81,80,3,1.064697
ibm_brisbane_old,81,80,21,1.085807
ibm_brisbane_old,81,80,42,0.763152
ibm_brisbane_old,81,80,63,0.755637
ibm_brisbane_old,81,80,84,1.123162
ibm_brisbane_old,81,80,105,1.139709
ibm_brisbane_old,81,80,126,1.120664
