"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"44","154.0477650601387","171.56430607962056","0.00830078125","0.01171875","0.0048828125","2280","0.00018988986411067833","32","0.00018988986411067833","0","0.00018988986411067833","0.00018988986411067833","45:0.0024340426130566584;43:0.006400040218686759","45:68;43:68","45:0.002004460524622359;43:0.004554569112083268","0.00830078125","0.00341796875","Yes"
"45","258.65449139258516","158.75237052257438","0.00830078125","0.00927734375","0.00732421875","2280","0.00025090153537347","32","0.00025090153537347","0","0.00025090153537347","0.00025090153537347","44:0.0024340426130566584;46:0.001627989675467012;37:0.0022322453623002947","44:68;46:68;37:68","44:0.002004460524622359;46:0.0012786342511513782;37:0.0018024561704606534","0.00830078125","0.005615234375","Yes"
"46","122.70908623597894","114.54084806442148","0.004638671875","0.00830078125","0.0009765625","2280","0.00030801376220605163","32","0.00030801376220605163","0","0.00030801376220605163","0.00030801376220605163","45:0.001627989675467012;47:0.0013275429271254746","45:68;47:68","45:0.0012786342511513782;47:0.0017237216865045868","0.004638671875","0.00341796875","Yes"
"47","165.4561491674824","214.34895369413957","0.019775390625","0.0126953125","0.02685546875","2280","0.00048654283045373775","32","0.00048654283045373775","0","0.00048654283045373775","0.00048654283045373775","48:0.004615235369958032;57:0.0015899405758134366;46:0.0013275429271254746","48:68;57:68;46:68","48:0.004681129478993434;57:0.0016646411202473343;46:0.0017237216865045868","0.019775390625","0.00634765625","Yes"
"48","266.9187666606673","31.76753198310257","0.005615234375","0.00732421875","0.00390625","2280","0.000162857795601219","32","0.000162857795601219","0","0.000162857795601219","0.000162857795601219","47:0.004615235369958032;49:0.0016897767127891095","47:68;49:68","47:0.004681129478993434;49:0.0018554453664731962","0.005615234375","0.15087890625","Yes"
"49","199.4282450023821","108.57870516052174","0.006591796875","0.00634765625","0.0068359375","2280","0.0003951511763963163","32","0.0003951511763963163","0","0.0003951511763963163","0.0003951511763963163","48:0.0016897767127891095;50:0.0016264164379158619;38:0.0016615047221983092","48:68;50:68;38:68","48:0.0018554453664731962;50:0.0017939469809401531;38:0.0015089630133244547","0.006591796875","0.00634765625","Yes"
"50","226.3698480856596","254.74547555783298","0.00390625","0.00732421875","0.00048828125","2280","0.00023134789695251846","32","0.00023134789695251846","0","0.00023134789695251846","0.00023134789695251846","49:0.0016264164379158619;51:0.0046097727427832635","49:68;51:68","49:0.0017939469809401531;51:0.0054287025713908865","0.00390625","0.004638671875","Yes"
"51","352.47809213261877","293.3856174068238","0.015380859375","0.015625","0.01513671875","2280","0.00019187657032033786","32","0.00019187657032033786","0","0.00019187657032033786","0.00019187657032033786","50:0.0046097727427832635;52:0.0023491857485020973;58:0.002304818368684708","50:68;52:68;58:68","50:0.0054287025713908865;52:0.002274620439354419;58:0.0018423959112232324","0.015380859375","0.0126953125","Yes"
"52","192.91329738619172","52.45952575692788","0.02685546875","0.0322265625","0.021484375","2280","0.0002532560162378686","32","0.0002532560162378686","0","0.0002532560162378686","0.0002532560162378686","51:0.0023491857485020973;53:0.001489658739599914","51:68;53:68","51:0.002274620439354419;53:0.0011698840378687736","0.02685546875","0.011474609375","Yes"
"53","345.0543940810151","72.29195383572734","0.006591796875","0.00732421875","0.005859375","2280","0.00015801944152260368","32","0.00015801944152260368","0","0.00015801944152260368","0.00015801944152260368","39:0.0014483602367625636;52:0.001489658739599914;54:0.0011304476771357708","39:68;52:68;54:68","39:0.0011970296175829176;52:0.0011698840378687736;54:0.0012325893050010583","0.006591796875","0.005126953125","Yes"
