"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"56","302.4757199790831","525.3413279524364","0.004150390625","0.00634765625","0.001953125","2200","0.00009768256783771011","32","0.00009768256783771011","0","0.00009768256783771011","0.00009768256783771011","63:0.0015170639786176998;43:0.0007144123076420761","63:68;43:68","63:0.0009592865369643933;43:0.0016737416785404524","0.004150390625","0.00341796875","Yes"
"57","197.65467003741344","280.89139970207987","0.00390625","0.005859375","0.001953125","2200","0.00014725396136870786","32","0.00014725396136870786","0","0.00014725396136870786","0.00014725396136870786","47:0.0009306988920526615;67:0.0008613071225853919","47:68;67:68","47:0.0012851842082905462;67:0.001103862955618179","0.00390625","0.001220703125","Yes"
"58","231.66742648449653","247.10186623286697","0.006591796875","0.0078125","0.00537109375","2200","0.00014057884305385143","32","0.00014057884305385143","0","0.00014057884305385143","0.00014057884305385143","71:0.0009328071159040718;51:0.0009124216257025974","71:68;51:68","71:0.0011875360132891366;51:0.0014419258786360911","0.006591796875","0.00390625","Yes"
"59","314.90756750371486","405.5488268435599","0.0048828125","0.00439453125","0.00537109375","2200","0.00009969828730657731","32","0.00009969828730657731","0","0.00009969828730657731","0.00009969828730657731","55:0.0011645725909250892;75:0.0012721186799442286","55:68;75:68","55:0.0012277299896710225;75:0.0008568964793149447","0.0048828125","0.006591796875","Yes"
"60","255.3422650416139","240.49166746194075","0.121826171875","0.23779296875","0.005859375","2200","0.00011755708049796436","32","0.00011755708049796436","0","0.00011755708049796436","0.00011755708049796436","61:0.0013228392620541207","61:68","61:0.0010184796596592327","0.121826171875","0.0048828125","Yes"
"61","319.69532348224254","384.4071014382413","0.00732421875","0.00927734375","0.00537109375","2200","0.00015231104043690987","32","0.00015231104043690987","0","0.00015231104043690987","0.00015231104043690987","76:0.0009873583498487826;60:0.0013228392620541207;62:0.0009767641368315927","76:68;60:68;62:68","76:0.0008883554266934657;60:0.0010184796596592327;62:0.000967919099656489","0.00732421875","0.003662109375","Yes"
"62","268.95577923138484","257.74301417856714","0.00439453125","0.005859375","0.0029296875","2200","0.00013623985440197164","32","0.00013623985440197164","0","0.00013623985440197164","0.00013623985440197164","61:0.0009767641368315927;63:0.0007484693147283006","61:68;63:68","61:0.000967919099656489;63:0.0012317546277144376","0.00439453125","0.001708984375","Yes"
"63","418.23190814507257","304.99958783366935","0.004150390625","0.0048828125","0.00341796875","2200","0.00007124852223804829","32","0.00007124852223804829","0","0.00007124852223804829","0.00007124852223804829","56:0.0015170639786176998;62:0.0007484693147283006;64:0.0025350340647711245","56:68;62:68;64:68","56:0.0009592865369643933;62:0.0012317546277144376;64:0.002632133738785486","0.004150390625","0.001220703125","Yes"
"64","27.96598202433165","51.40002250462757","0.0107421875","0.0205078125","0.0009765625","2200","0.00045990401768992734","32","0.00045990401768992734","0","0.00045990401768992734","0.00045990401768992734","65:0.002420033415418299;63:0.0025350340647711245","65:68;63:68","65:0.00225013849790498;63:0.002632133738785486","0.0107421875","0.003662109375","Yes"
"65","350.53476290588407","295.0765819766407","0.021728515625","0.00634765625","0.037109375","2200","0.0001037365045865343","32","0.0001037365045865343","0","0.0001037365045865343","0.0001037365045865343","64:0.002420033415418299;66:0.0009847166861868817;77:0.0008454017237768674","64:68;66:68;77:68","64:0.00225013849790498;66:0.0012769692671040778;77:0.001410293062878959","0.021728515625","0.011962890625","Yes"
"66","265.7664518435312","275.0201840501282","0.00439453125","0.00390625","0.0048828125","2200","0.00010107241649152975","32","0.00010107241649152975","0","0.00010107241649152975","0.00010107241649152975","65:0.0009847166861868817;67:0.0024540148886292024","65:68;67:68","65:0.0012769692671040778;67:0.002448718412701195","0.00439453125","0.001708984375","Yes"
"67","303.0850488134406","435.6747482482431","0.000732421875","0.00146484375","0","2200","0.00007518503213633361","32","0.00007518503213633361","0","0.00007518503213633361","0.00007518503213633361","68:0.0007939705158555299;57:0.0008613071225853919;66:0.0024540148886292024","68:68;57:68;66:68","68:0.0008771629094101452;57:0.001103862955618179;66:0.002448718412701195","0.000732421875","0.000244140625","Yes"
"68","289.7193026398165","218.22958825809823","0.005126953125","0.00830078125","0.001953125","2200","0.00010876828589271243","32","0.00010876828589271243","0","0.00010876828589271243","0.00010876828589271243","67:0.0007939705158555299;69:0.0007514481959201014","67:68;69:68","67:0.0008771629094101452;69:0.0007297126736281745","0.005126953125","0.00244140625","Yes"
